Date,Beds,Unit,SqFt,Price
2015-03-22T12:56:15.823252,2,502,1104,4674
2015-03-22T12:56:15.823252,0,306,528,3065
2015-03-22T12:56:15.823252,0,612,587,2940
2015-03-22T12:56:15.823252,0,712,587,3310
2015-03-22T20:18:27.632022,1,1707,690,3444
2015-03-22T20:18:27.632022,1,1604,750,3500
2015-03-22T20:18:27.632022,1,1415,716,3385
2015-03-22T20:18:27.632022,1,603,714,3255
2015-03-22T20:18:27.632022,1,313,716,3102
2015-03-22T20:18:27.632022,1,513,716,3317
2015-03-22T20:18:27.632022,1,508,716,3347
2015-03-22T20:18:27.632022,2,1704,855,4640
2015-03-22T20:18:27.632022,2,809,855,4075
2015-03-22T20:18:27.632022,2,911,946,4195
2015-03-22T20:18:27.632022,2,1601,950,4811
2015-03-22T20:18:27.632022,2,401,950,4281
2015-03-22T20:18:27.632022,2,501,950,4471
2015-03-22T20:18:27.632022,2,601,950,4366
2015-03-22T20:18:27.632022,2,515,986,4695
2015-03-22T20:18:27.632022,2,407,986,4545
2015-03-22T20:18:27.632022,2,1405,1195,4760
2015-03-22T20:18:27.632022,2,713,1195,4810
2015-03-22T20:18:27.632022,2,1702,1195,5395
2015-03-22T20:18:27.632022,2,302,1138,4389
2015-03-22T20:18:27.632022,2,1116,1104,4649
2015-03-22T20:18:27.632022,2,320,1138,4309
2015-03-22T20:18:27.632022,2,502,1104,4674
2015-03-22T20:18:27.632022,0,306,528,3065
2015-03-22T20:18:27.632022,0,612,587,2940
2015-03-22T20:18:27.632022,0,712,587,3310
2015-03-23T20:03:58.231081,1,1707,690,3509
2015-03-23T20:03:58.231081,1,1604,750,3535
2015-03-23T20:03:58.231081,1,1415,716,3420
2015-03-23T20:03:58.231081,1,603,714,3240
2015-03-23T20:03:58.231081,1,313,716,3137
2015-03-23T20:03:58.231081,1,513,716,3302
2015-03-23T20:03:58.231081,1,508,716,3327
2015-03-23T20:03:58.231081,2,1704,855,4650
2015-03-23T20:03:58.231081,2,809,855,4060
2015-03-23T20:03:58.231081,2,911,946,4195
2015-03-23T20:03:58.231081,2,1601,950,4821
2015-03-23T20:03:58.231081,2,401,950,4286
2015-03-23T20:03:58.231081,2,501,950,4471
2015-03-23T20:03:58.231081,2,601,950,4351
2015-03-23T20:03:58.231081,2,515,986,4680
2015-03-23T20:03:58.231081,2,407,986,4550
2015-03-23T20:03:58.231081,2,1405,1195,4770
2015-03-23T20:03:58.231081,2,713,1195,4820
2015-03-23T20:03:58.231081,2,1702,1195,5380
2015-03-23T20:03:58.231081,2,302,1138,4399
2015-03-23T20:03:58.231081,2,1116,1104,4664
2015-03-23T20:03:58.231081,2,320,1138,4314
2015-03-23T20:03:58.231081,2,502,1104,4659
2015-03-23T20:03:58.231081,0,306,528,3095
2015-03-23T20:03:58.231081,0,612,587,3005
2015-03-23T20:03:58.231081,0,712,587,3305
2015-03-24T01:05:12.069538,1,1707,690,3509
2015-03-24T01:05:12.069538,1,1604,750,3535
2015-03-24T01:05:12.069538,1,1415,716,3420
2015-03-24T01:05:12.069538,1,603,714,3240
2015-03-24T01:05:12.069538,1,313,716,3137
2015-03-24T01:05:12.069538,1,513,716,3302
2015-03-24T01:05:12.069538,1,508,716,3327
2015-03-24T01:05:12.069538,2,1704,855,4650
2015-03-24T01:05:12.069538,2,809,855,4060
2015-03-24T01:05:12.069538,2,911,946,4195
2015-03-24T01:05:12.069538,2,1601,950,4821
2015-03-24T01:05:12.069538,2,401,950,4286
2015-03-24T01:05:12.069538,2,501,950,4471
2015-03-24T01:05:12.069538,2,601,950,4351
2015-03-24T01:05:12.069538,2,515,986,4680
2015-03-24T01:05:12.069538,2,407,986,4550
2015-03-24T01:05:12.069538,2,1405,1195,4770
2015-03-24T01:05:12.069538,2,713,1195,4820
